case,latency_ns,attempt,validation,replay_digest,reference_digest,memory_probe,sim_ticks,gem5_exit
fault-none,50ns,1,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
fault-none,50ns,2,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
fault-proof-corruption-record-1,50ns,1,rejected,3fe63d3143fdc98c,ff05ec2371488ba1,6ee58deb8743b0f8,1636792000,0
fault-proof-corruption-record-1,50ns,2,rejected,3fe63d3143fdc98c,ff05ec2371488ba1,6ee58deb8743b0f8,1636792000,0
fault-proof-corruption-record-18,50ns,1,rejected,c169add06c40191c,ff05ec2371488ba1,6ee58deb8743b0f8,1636865000,0
fault-proof-corruption-record-18,50ns,2,rejected,c169add06c40191c,ff05ec2371488ba1,6ee58deb8743b0f8,1636865000,0
fault-proof-corruption-record-35,50ns,1,rejected,ec824874337849a5,ff05ec2371488ba1,6ee58deb8743b0f8,1636865000,0
fault-proof-corruption-record-35,50ns,2,rejected,ec824874337849a5,ff05ec2371488ba1,6ee58deb8743b0f8,1636865000,0
fault-proof-corruption,50ns,1,rejected,c169add06c40191c,ff05ec2371488ba1,6ee58deb8743b0f8,1636865000,0
fault-proof-corruption,50ns,2,rejected,c169add06c40191c,ff05ec2371488ba1,6ee58deb8743b0f8,1636865000,0
latency-100ns,100ns,1,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1999604000,0
latency-100ns,100ns,2,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1999604000,0
latency-10ns,10ns,1,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1346204000,0
latency-10ns,10ns,2,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1346204000,0
latency-50ns,50ns,1,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
latency-50ns,50ns,2,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
replay-50ns,50ns,1,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
replay-50ns,50ns,2,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
replay-50ns,50ns,3,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
replay-50ns,50ns,4,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
replay-50ns,50ns,5,accepted,ff05ec2371488ba1,ff05ec2371488ba1,6ee58deb8743b0f8,1636604000,0
